Index,Grade Description,Pay
1,PHLEBOTOMIST TRAINEE,20767
2,"STUDENT MENTAL HEALTH NURSE
(ROSTERED PLACEMENT)",22729
3,"E.C.G. TECHNICIAN, STUDENT",24451
4,PHARMACY STUDENT,25398
5,"PHARMACEUTICAL TECHNICIAN, STUDENT",25913
6,"MENTAL HEALTH STAFF NURSE
(POST QUALIFICATION, PRE REGISTRATION)",27264
7,"MENTAL HEALTH, STAFF NURSE
(ADAPTATION PLACEMENT)",27264
8,"PHYSICIST, GRADUATE TRAINEE - YEAR 1",27460
9,DOMESTICS (DUBLIN) (NON-PAYPATH),27523
10,"GRADUATE MENTAL HEALTH NURSE PROGRAMME
(YEAR 1)
** grade obsolete - not for use - see Guide note 2 **",27644
11,TRAINEE SOCIAL CARE WORKER,27975
12,PORTERS (DUBLIN) (NON-PAYPATH),28235
13,PHARMACY AIDE/ATTENDANT,28442
14,VAN DRIVERS,28442
15,BUILDERS LABOURERS,28442
16,LABORATORY ATTENDANTS,28442
17,PHARMACY PORTER,28442
18,MINI BUS DRIVERS,28442
19,"GATE KEEPERS
** grade obsolete - not for use - see Guide note 2 **",28442
20,"TRACTOR DRIVERS
** grade obsolete - not for use - see Guide note 2 **",28442
21,PORTERS / DRIVERS,28442
22,BOILERMEN,28442
23,FARM LABOURERS,28442
24,BOILERMAN / GROUNDSMAN,28442
25,"DRIVERS WHOSE DUTIES DO NOT INVOLVE THE
TRANSPORTATION OF PATIENTS AND CLIENTS, OR
THOSE TRANSPORTING PATIENTS/CLIENTS WITHIN
HOSPITAL GROUNDS ONLY",28442
26,GARDENER,28442
27,GARDEN LABOURERS,28442
28,STOREMAN,28442
29,GENERAL LABOURERS,28442
30,CARETAKERS,28442
31,GROUNDSMEN,28442
32,SEAMSTRESS,28442
33,CLEANERS,28442
34,LAUNDRY WORKERS,28442
35,PORTERS,28442
36,STORES PORTERS / ATTENDANTS,28442
37,DOMESTICS,28442
38,HAIRDRESSERS,28442
39,ATTENDANTS,28442
40,BEAUTICIANS,28442
41,BARBERS,28442
42,"E.C.G. TECHNICIAN (WITH FORMAL
QUALIFICATION)",28637
43,"PHYSICIST, GRADUATE TRAINEE - YEAR 2",28709
44,NURSES AIDES (DUBLIN) (NON-PAYPATH),28737
45,"GRADUATE MENTAL HEALTH NURSE PROGRAMME
(YEAR 2)
** grade obsolete - not for use - see Guide note 2 **",28773
46,FARM LABOURERS (NON-DUBLIN) (NON-PAYPATH),28813
47,DRIVERS (NON-DUBLIN) (NON-PAYPATH),28813
48,GENERAL LABOURERS (NON-DUBLIN) (NON-PAYPATH),28813
49,GROUNDSMEN (NON-DUBLIN) (NON-PAYPATH),28813
50,"STORES PORTERS / ATTENDANTS (NON-DUBLIN)
(NON-PAYPATH)",28813
51,LAUNDRY WORKERS (NON-DUBLIN) (NON-PAYPATH),28813
52,"GATE KEEPERS (NON-DUBLIN) (NON-PAYPATH)
** grade obsolete - not for use - see Guide note 2 **",28813
